period,group,mean_corr,std_corr,n_pairs,t_stat,p_value
Pre-COVID,upstream,-0.029560936208990578,0.1465749283003167,37,-1.3283603221650575,0.1916407628586525
Pre-COVID,downstream,0.0015130577659284747,0.1437414641803952,37,-0.07148991058360117,0.943365224968359
Pre-COVID,bidirectional,0.10571057547349483,0.17515595200241904,10,1.8411249293319167,0.09811134433342732
Pre-COVID,unconnected,0.0032462016201467276,0.18287553832693776,1141,0.0,1.0
COVID Crisis,upstream,0.018736317577595647,0.3586386965255177,37,-1.2975544194388136,0.20219217176883705
COVID Crisis,downstream,0.1546349326601705,0.34342377180273087,37,1.0128558307417366,0.31744208538770247
COVID Crisis,bidirectional,0.20884538441896439,0.3106268560261214,10,1.1375769156412303,0.28402727169086706
COVID Crisis,unconnected,0.09645819204123321,0.3568354879126502,1141,0.0,1.0
Post-COVID,upstream,-0.027376656326138088,0.3418638899155219,37,-0.8435750952274872,0.40411241166254597
Post-COVID,downstream,0.031645499597731476,0.3295008789412971,37,0.1956757541474777,0.8458867737428759
Post-COVID,bidirectional,0.26686514150351287,0.25426186406844276,10,3.034102382591657,0.013627147247570168
Post-COVID,unconnected,0.02084965305049599,0.35365546611388193,1141,0.0,1.0
