fold,model,rmse,mae,r2,bt_sharpe,hit_ratio
1,AR(1),2.8282108306884766,1.7509253025054932,0.023980319499969482,3.5015240059561257,0.6666666666666666
1,LSTM,2.8611748218536377,1.7626194953918457,0.0010959506034851074,1.0408512687088978,0.6333333333333333
1,XGBoost,3.0666138664986233,1.9368763762253094,-0.1475013078841223,2.7313846339942174,0.6
1,V-STGCN,2.8612618446350098,1.7728160619735718,0.0010352134704589844,4.23325183306241,0.7666666666666667
1,SC-STGCN,2.8318591117858887,1.7541366815567017,0.02146071195602417,2.708335341228797,0.7
2,AR(1),2.9792778491973877,1.5015956163406372,0.014627158641815186,3.7985807057341567,0.8571428571428571
2,LSTM,3.0091824531555176,1.5196285247802734,-0.00525355339050293,1.939803775647708,0.5714285714285714
2,XGBoost,3.0463085089282362,1.5928936488105507,-0.030211383421426596,2.483040431013688,0.6428571428571429
2,V-STGCN,2.9659974575042725,1.4931681156158447,0.02339237928390503,3.8751425285146617,0.7142857142857143
2,SC-STGCN,2.911742925643921,1.4955462217330933,0.05879414081573486,2.1567375349620588,0.5714285714285714
